-0.104386,0.994456,-0.012309,-0.002963
-0.109534,0.993908,-0.012110,-0.001701
-0.103626,0.994565,-0.009982,-0.001560
-0.108848,0.993992,-0.011442,-0.000402
-0.108673,0.994000,-0.012320,-0.001168
-0.109785,0.993851,-0.014352,0.001499
-0.101141,0.994799,-0.011322,-0.004043
-0.109620,0.993942,-0.007872,-0.001055
-0.106596,0.994231,-0.010638,-0.005287
-0.105521,0.994282,-0.016262,0.002195
-0.117151,0.993110,-0.000660,0.002646
-0.106384,0.994313,-0.001336,0.004615
-0.112596,0.993632,-0.003816,0.001952
-0.114940,0.993362,-0.002042,0.003960
-0.113168,0.993572,-0.002772,0.000504
-0.116245,0.993169,-0.009433,0.003562
-0.117654,0.993044,-0.000851,0.004600
-0.114098,0.993430,-0.008784,0.001373
-0.117592,0.993058,-0.002627,-0.000958
-0.110154,0.993878,-0.006753,-0.005144
-0.113478,0.993485,-0.009000,-0.005361
-0.114871,0.993314,-0.011026,-0.003383
-0.115309,0.993270,-0.010782,0.001625
-0.119463,0.992787,-0.009825,-0.002243
-0.119365,0.992805,-0.009532,0.000415
-0.113512,0.993459,-0.011024,-0.005696
-0.120545,0.992680,-0.006116,-0.004322
-0.124927,0.992143,-0.006745,0.000165
-0.114704,0.993356,-0.008768,-0.003234
-0.140293,0.990082,-0.005516,-0.005085
-0.139363,0.990213,-0.005138,-0.005417
-0.141323,0.989891,-0.007192,-0.009550
-0.139648,0.990156,-0.003575,-0.008789
-0.139436,0.990207,-0.002820,-0.006264
-0.139904,0.990145,-0.004000,-0.004831
-0.141368,0.989923,-0.006345,-0.005268
-0.140601,0.990062,-0.002349,-0.001627
-0.141098,0.989981,-0.000804,-0.005390
-0.139946,0.990146,-0.004223,-0.002729
-0.141926,0.989838,-0.005961,-0.006527
-0.141233,0.989970,-0.002975,-0.002174
-0.140757,0.990027,-0.003315,-0.004753
-0.142320,0.989787,-0.007977,-0.001504
-0.143763,0.989596,-0.005105,-0.002252
-0.140075,0.990107,-0.007309,-0.003570
-0.139603,0.990187,-0.004913,-0.004046
-0.140621,0.990049,-0.004885,-0.001954
-0.139702,0.990172,-0.005650,-0.003351
-0.139220,0.990237,-0.006598,-0.002094
-0.163540,0.986510,-0.003588,-0.006353
-0.165831,0.986116,-0.002075,-0.008424
-0.167417,0.985855,-0.004393,-0.006502
-0.165914,0.986091,-0.006690,-0.007274
-0.166297,0.986053,-0.001509,-0.006567
-0.167626,0.985815,-0.004952,-0.006760
-0.163559,0.986481,-0.001355,-0.010129
-0.169292,0.985518,-0.005601,-0.007972
-0.169885,0.985435,-0.004070,-0.006380
-0.167916,0.985753,-0.006089,-0.007616
-0.177896,0.984040,-0.001807,-0.003758
-0.179789,0.983663,-0.003462,-0.008436
-0.181173,0.983435,-0.000947,-0.005504
-0.180866,0.983483,-0.005021,-0.004911
-0.181589,0.983323,-0.003958,-0.009251
-0.177824,0.984057,-0.001366,0.002988
-0.179541,0.983734,-0.004020,-0.003997
-0.178135,0.983961,-0.003129,-0.008869
